DURATION,DAYS,ESTIMATE
UNKNIWN,?,1
APPX 30 DAYS,30,1
ESTIMATE 1-2 DA,2,1
2 DA,2,
3-4 OURS,1,
2-3WEEKS,21,1
BUILDING SHOP P,?,1
WE CLOSE ON 7/1,?,1
2 WEEKS MINIMUM,14,1
>1 DAY,1,1
4 TO 6 DAYS,6,1
#NAME?,?,1
68.1 HRS,3,
40 HOURS,2,
7 OR 8 DAYS,8,1
5-20 DAYS,20,1
2 WEEKS-1 MONTH,30,1
12 HOUR(S),1,
90 DAYSYS,90,
8/20/19-9/20/19,32,
185FT,?,1
3 DATS,3,
ONE WEEK.,7,
UNKNKOWN,?,1
2 WORKING DAYS,2,
3- 4 DAYS,4,1
139 HRS,6,
1 DAG,1,
100+,100,1
3-5DAYS,5,1
2 WEEKS 01/03/2,14,
ETC,?,1
SUMMER,94,
4 DAYD,4,
3 TO 6 WEEKS,42,1
3-4 WEEK,28,1
30 DYS,30,
40 WORKING DAYS,40,
JUST TODAY,1,
3-4 HOLES,?,1
1 1/2 WEEKS,11,
DAY TO TWO,2,1
14 DATS,14,
45 MINUTES,1,
THIS WEEK,?,1
COUPLE HRS,1,
FOUR CORNERS BU,?,1
TWO  HOURS,1,
2 MONTHS ONCE W,60,
120~ FROM METER,?,1
30 DAYD,30,
1 WEREK,7,
40 DAY(S),40,
ATTBSW,?,1
1 MTH,30,
14 DAYES,14,
5 DAYD,5,
2 DAYS AGO,2,
7 TO 14 DAYS.,14,1
SEPT 10 -AUG 12,337,
10 + DAYS,10,1
THIS SPRING,93,1
LESS THAN 24HR,1,
30MIN,1,
1 DAY OF WORK,1,
"S, E AND N SIDE",?,1
1HR 2 30INCH SC,1,
UP TO 2 WEEKS.,14,1
60 DAY~S,60,
6 YEARS,2190,
ALL SUMMER,94,
NO MORE THAN 10,10,1
4-7 DAYS,7,1
"UNKNOWN, DEPEND",?,1
2 WEEKS+,14,1
0 DAYS,1,
1 DDAY,1,
6 MONTHES,180,
ONG,?,1
4WEEK,28,
UNTIL COMPLETE.,?,1
1 KC,?,1
1 DATY,1,
5 FEET,?,1
1 -2 WEEKS,14,1
5  DAYS,5,
7 DAYS IN,7,
1.5-2 WEEKS,14,1
TO PUT IN DRIVE,?,1
0NE DAY,1,
3W WEEKS,21,
3H,1,
RIGHT OF WAY,?,1
APPROX 7 DAYS,7,1
16,16,
HALF HOUR,1,
7-21 DAYS,21,1
CITY OF OKC,?,1
1 DAN,1,
6-8 DAYS,8,1
DRILLING HOLES,?,1
DIGGING WILL TA,?,1
1 HR ON DIG DAY,1,
7 TO 10 BUSINES,14,1
3-6 DAYS,6,1
APRIL 26-27,2,
1-1/2 DAYS,2,1
3/4 - 3/10,7,
PERMAMENT,?,1
15;MINUTES,1,
SSCGP,?,1
1  WEEK,7,
PERMANENT,?,1
1HOUR,1,
EIGHT WEEKS,56,
1-2DAY,2,
HOPEFULLY NOT L,?,1
11-25 TO 12-15,21,
NEXT 5 DAYS,5,
JUNE 2-4,3,
3DAY,3,
WEEKEND OF THE,2,
4-5DAYS,5,1
1MO,30,
1H,1,
1 DYA,1,
1 AY,1,
APPROX 5 DAYS,5,1
TWO  MONTHS,60,
22 DAYS,22,
17DAYS,17,
2 -3 DAYS,3,1
PERINATE,?,1
10 DAYS OR MORE,10,1
7 -10 DAYS,10,1
10 DAYS TO 2 WK,14,1
2-3 DAYS.,3,1
BURYING PROPANE,?,1
I DAAY,1,
5-8 DAY,8,1
APPROX 8 DAYS,8,1
1 WEE,7,
TWO OR THREE DA,3,1
2-4HRS,1,
NEED BY NOVEMBE,?,1
1 WEEEK,7,
MAY TO JUNE,61,
1 + YEAR,365,1
A HOUR,1,
NEW FENCE INSTA,?,1
140 DAYS,140,
ABOUT 2 HOURS,1,
2 MONTHS GETTIN,60,
5WEEK,35,
"JUNE 5,2023",1,
3 AYS,3,
1OR 2 DAYS,2,1
4-8HRS,1,
2 WEEEKS +,14,1
HALF,?,1
LARGE,?,1
10 DAYS OR LESS,10,1
3 DAYS WORK,3,
2 DYS,2,
3 WEEDS,21,
REPLACING FENCE,?,1
1 TO 2  WEEKS,14,1
APPROX 2 HOURS,1,
8 HOURSURS,1,
1 DAY TO DIG,1,
SLOPE BANK BACK,?,1
NO LONGER THAN,?,1
LESS THAN 1 WK,7,1
30 DAYS I HOPE,30,1
24-72 HOURS,3,1
JUST THE WEEKEN,2,
1-1 1/2 WEEKS,11,1
1- 2 DAYS,2,1
9 MONTH,270,
MAYBE 1 MONTH.,30,1
MAYBE A WEEK?,7,1
MARCH 27-MAY 27,62,
WATER LINE REPA,?,1
ONE DAY/4 HOURS,1,
APRIL 5-7. STOR,3,
1-HRS,1,
