DURATION,DAYS,ESTIMATE
6 MONTHS TO A Y,365,1
1 DAY.,1,0
5 MIN,1,0
REPLACE FENCE,0,1
1 WORKING DAY,1,0
Q) DAYS,0,1
3-=4 DAYS,4,1
1DAT,1,0
5 -10 DAYS,10,1
3 MONTHS + / -,90,1
WEEK TO A MONTH,30,1
1 HOIR,1,0
2-8 HOURS,1,0
<1 DAY,1,1
THEY VARY,0,1
IS TWO HOURS,1,0
4?-6? CUT BESID,0,1
12/16 TO 12/31,16,0
T,0,1
B803251 DAY,0,1
7/1 -7/16,16,0
HUTCH,0,1
WITHIN A DAY,1,0
"TWO WEEKS, APPR",14,1
LESS THAN WK,7,1
APPROX 2 WEEKS,14,1
? TWO WEEKENDS?,9,1
HOUR,1,0
SPRING / SUMMER,186,0
@ DAYS,2,0
8-10 HOURS,1,0
3 CAYS,3,0
1-3 MONTHS,90,1
POSSIBLY 6 MO.,180,1
NO TIMEFRAME,0,1
1 WEAK,7,0
ABOUT 2-3 WEEKS,21,1
3 DAYS OR LESS,3,1
TEST STATION IN,0,1
15 :DAYS,15,0
40 HRS,2,0
5 DAYSAYS,5,0
A WEEK OR TWO,14,1
03/30 -04/14/22,16,0
4 OR 5 DAYS,5,1
FALL 2023,91,0
"6 ,OMTHS",180,0
A WEEK OR A LIT,7,1
357 HOURS,15,0
UP TO 1 WEEK,7,1
11/23 TO 12/11/,19,0
3 TO5 DAYS,5,1
9/22/17-9/30/17,9,0
8-12 MONTHS,360,1
30  DAYS,30,0
2 DAS,2,0
.5 DAY,1,0
UNKNIWN,0,1
APPX 30 DAYS,30,1
ESTIMATE 1-2 DA,2,1
2 DA,2,0
3-4 OURS,1,0
2-3WEEKS,21,1
BUILDING SHOP P,0,1
WE CLOSE ON 7/1,0,1
2 WEEKS MINIMUM,14,1
>1 DAY,1,1
4 TO 6 DAYS,6,1
#NAME?,0,1
68.1 HRS,3,0
40 HOURS,2,0
7 OR 8 DAYS,8,1
5-20 DAYS,20,1
2 WEEKS-1 MONTH,30,1
12 HOUR(S),1,0
90 DAYSYS,90,0
8/20/19-9/20/19,32,0
185FT,0,1
3 DATS,3,0
ONE WEEK.,7,0
UNKNKOWN,0,1
2 WORKING DAYS,2,0
3- 4 DAYS,4,1
139 HRS,6,0
1 DAG,1,0
100+,100,1
3-5DAYS,5,1
2 WEEKS 01/03/2,14,0
ETC,0,1
SUMMER,94,0
4 DAYD,4,0
3 TO 6 WEEKS,42,1
3-4 WEEK,28,1
30 DYS,30,0
40 WORKING DAYS,40,0
JUST TODAY,1,0
3-4 HOLES,0,1
1 1/2 WEEKS,11,0
DAY TO TWO,2,1
14 DATS,14,0
45 MINUTES,1,0
THIS WEEK,0,1
COUPLE HRS,1,0
FOUR CORNERS BU,0,1
TWO  HOURS,1,0
2 MONTHS ONCE W,60,0
120~ FROM METER,0,1
30 DAYD,30,0
1 WEREK,7,0
40 DAY(S),40,0
ATTBSW,0,1
1 MTH,30,0
14 DAYES,14,0
5 DAYD,5,0
2 DAYS AGO,2,0
7 TO 14 DAYS.,14,1
SEPT 10 -AUG 12,337,0
10 + DAYS,10,1
THIS SPRING,93,1
LESS THAN 24HR,1,0
30MIN,1,0
1 DAY OF WORK,1,0
"S, E AND N SIDE",0,1
1HR 2 30INCH SC,1,0
UP TO 2 WEEKS.,14,1
60 DAY~S,60,0
6 YEARS,2190,0
ALL SUMMER,94,0
NO MORE THAN 10,10,1
4-7 DAYS,7,1
"UNKNOWN, DEPEND",0,1
2 WEEKS+,14,1
0 DAYS,1,0
1 DDAY,1,0
6 MONTHES,180,0
ONG,0,1
4WEEK,28,0
UNTIL COMPLETE.,0,1
1 KC,0,1
1 DATY,1,0
5 FEET,0,1
1 -2 WEEKS,14,1
5  DAYS,5,0
7 DAYS IN,7,0
1.5-2 WEEKS,14,1
TO PUT IN DRIVE,0,1
0NE DAY,1,0
3W WEEKS,21,0
3H,1,0
RIGHT OF WAY,0,1
APPROX 7 DAYS,7,1
16,16,0
HALF HOUR,1,0
7-21 DAYS,21,1
CITY OF OKC,0,1
1 DAN,1,0
6-8 DAYS,8,1
DRILLING HOLES,0,1
DIGGING WILL TA,0,1
1 HR ON DIG DAY,1,0
7 TO 10 BUSINES,14,1
3-6 DAYS,6,1
APRIL 26-27,2,0
1-1/2 DAYS,2,1
3/4 - 3/10,7,0
PERMAMENT,0,1
15;MINUTES,1,0
SSCGP,0,1
1  WEEK,7,0
PERMANENT,0,1
1HOUR,1,0
EIGHT WEEKS,56,0
1-2DAY,2,0
HOPEFULLY NOT L,0,1
11-25 TO 12-15,21,0
NEXT 5 DAYS,5,0
JUNE 2-4,3,0
3DAY,3,0
WEEKEND OF THE,2,0
4-5DAYS,5,1
1MO,30,0
1H,1,0
1 DYA,1,0
1 AY,1,0
APPROX 5 DAYS,5,1
TWO  MONTHS,60,0
22 DAYS,22,0
17DAYS,17,0
2 -3 DAYS,3,1
PERINATE,0,1
10 DAYS OR MORE,10,1
7 -10 DAYS,10,1
10 DAYS TO 2 WK,14,1
2-3 DAYS.,3,1
BURYING PROPANE,0,1
I DAAY,1,0
5-8 DAY,8,1
APPROX 8 DAYS,8,1
1 WEE,7,0
TWO OR THREE DA,3,1
2-4HRS,1,0
NEED BY NOVEMBE,0,1
1 WEEEK,7,0
MAY TO JUNE,61,0
1 + YEAR,365,1
A HOUR,1,0
NEW FENCE INSTA,0,1
140 DAYS,140,0
ABOUT 2 HOURS,1,0
2 MONTHS GETTIN,60,0
5WEEK,35,0
"JUNE 5,2023",1,0
3 AYS,3,0
1OR 2 DAYS,2,1
4-8HRS,1,0
2 WEEEKS +,14,1
HALF,0,1
LARGE,0,1
10 DAYS OR LESS,10,1
3 DAYS WORK,3,0
2 DYS,2,0
3 WEEDS,21,0
REPLACING FENCE,0,1
1 TO 2  WEEKS,14,1
APPROX 2 HOURS,1,0
8 HOURSURS,1,0
1 DAY TO DIG,1,0
SLOPE BANK BACK,0,1
NO LONGER THAN,0,1
LESS THAN 1 WK,7,1
30 DAYS I HOPE,30,1
24-72 HOURS,3,1
JUST THE WEEKEN,2,0
1-1 1/2 WEEKS,11,1
1- 2 DAYS,2,1
9 MONTH,270,0
MAYBE 1 MONTH.,30,1
MAYBE A WEEK?,7,1
MARCH 27-MAY 27,62,0
WATER LINE REPA,0,1
ONE DAY/4 HOURS,1,0
APRIL 5-7. STOR,3,0
1-HRS,1,0
